WAKE_LOCK,INTERNET,ACCESS_NETWORK_STATE,VIBRATE,ACCESS_WIFI_STATE,RECEIVE_BOOT_COMPLETED,GET_TASKS,FLASHLIGHT,WRITE_SETTINGS,DISABLE_KEYGUARD,CHANGE_WIFI_STATE,USE_CREDENTIALS,MODIFY_AUDIO_SETTINGS,ACCESS_LOCATION_EXTRA_COMMANDS,BROADCAST_STICKY,SYSTEM_ALERT_WINDOW,READ_LOGS,BLUETOOTH,ACCESS_MOCK_LOCATION,BLUETOOTH_ADMIN,SET_WALLPAPER,CHANGE_NETWORK_STATE,CHANGE_CONFIGURATION,RESTART_PACKAGES,MANAGE_ACCOUNTS,MOUNT_UNMOUNT_FILESYSTEMS,AUTHENTICATE_ACCOUNTS,KILL_BACKGROUND_PROCESSES,NFC,WRITE_SYNC_SETTINGS,READ_SYNC_SETTINGS,INTERACT_ACROSS_USERS_FULL,WRITE_SMS,READ_USER_DICTIONARY,CHANGE_WIFI_MULTICAST_STATE,READ_PROFILE,CLEAR_APP_CACHE,WRITE_SECURE_SETTINGS,MODIFY_PHONE_STATE,DEVICE_POWER,BATTERY_STATS,REORDER_TASKS,READ_SYNC_STATS,CALL_PRIVILEGED,INSTALL_PACKAGES,EXPAND_STATUS_BAR,SET_ORIENTATION,DELETE_PACKAGES,GET_PACKAGE_SIZE,PERSISTENT_ACTIVITY,ACCOUNT_MANAGER,UPDATE_DEVICE_STATS,HARDWARE_TEST,SET_WALLPAPER_HINTS,SET_DEBUG_APP,SET_TIME_ZONE,INSTALL_LOCATION_PROVIDER,WRITE_APN_SETTINGS,CONTROL_LOCATION_UPDATES,MANAGE_DOCUMENTS,DUMP,CHANGE_COMPONENT_ENABLED_STATE,BIND_DEVICE_ADMIN,PACKAGE_USAGE_STATS,UPDATE_APP_OPS_STATS,FORCE_STOP_PACKAGES,MOUNT_FORMAT_FILESYSTEMS,SET_PREFERRED_APPLICATIONS,SET_ALWAYS_FINISH,SET_WALLPAPER_COMPONENT,BIND_APPWIDGET,DIAGNOSTIC,DELETE_CACHE_FILES,READ_FRAME_BUFFER,WRITE_MEDIA_STORAGE,ACCESS_SURFACE_FLINGER,WRITE_GSERVICES,BIND_NOTIFICATION_LISTENER_SERVICE,ACCESS_CHECKIN_PROPERTIES,REBOOT,BIND_WALLPAPER,READ_PRECISE_PHONE_STATE,INTERNAL_SYSTEM_WINDOW,READ_DREAM_STATE,MASTER_CLEAR,WRITE_DREAM_STATE,BROADCAST_WAP_PUSH,CLEAR_APP_USER_DATA,TRANSMIT_IR,SET_ANIMATION_SCALE,ACCESS_NOTIFICATIONS,BROADCAST_PACKAGE_REMOVED,READ_INPUT_STATE,GLOBAL_SEARCH,SET_ACTIVITY_WATCHER,MANAGE_APP_TOKENS,GET_TOP_ACTIVITY_INFO,SIGNAL_PERSISTENT_PROCESSES,BIND_INPUT_METHOD,WRITE_USER_DICTIONARY,FACTORY_TEST,BROADCAST_SMS,FORCE_BACK,ACCESS_WIMAX_STATE,INJECT_EVENTS,BRICK,CHANGE_BACKGROUND_DATA_SETTING,STATUS_BAR,SUBSCRIBED_FEEDS_WRITE,SET_PROCESS_LIMIT,ACCESS_DOWNLOAD_MANAGER,SUBSCRIBED_FEEDS_READ,BIND_REMOTEVIEWS,ACCESS_ALL_DOWNLOADS,ACCESS_CACHE_FILESYSTEM
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
